date,open,high,low,close,volume,atr_14_pct,atr_vol_20,range_pct,dist_sma50_pct,macd_hist,bb_bw_20,vol_ratio_20,cmf_20,up_down_vol_ratio_20,ret_vol_corr_20,pct_dist_to_20_high,breakout_up_20,breakout_down_20,vwap_dist,vwap_slope_5,wick_to_body_ratio,inside_bar,engulfing,gap_pct,up_streak,down_streak,wick_up_streak_3,wick_down_streak_3,ret_skew_20,ret_kurt_20,dow,dow_sin,dow_cos,hour,hour_sin,hour_cos,y_reg,y_cls,vol_cv_20_log
2023-04-09 18:30:00,880.05,882.8,864.4,868.45,30906205.0,0.019277676601089633,0.6406833337485929,0.021187172548793775,0.01772716778992251,3.56706450897968,0.08813365159668633,1.5785029145775622,0.01753163449210837,0.8103331653148887,0.13917692671376286,-0.02432310976294793,0.0,0.0,-0.003937835719610609,3.6366666666659286,0.5862068965516841,0.0,0.0,0.0057714285714285125,0,2,1.0,2.0,0.6915318366076931,3.2635351341182446,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,0.03167861049500148,1,0.2873331473624305
2023-04-10 18:30:00,873.7,885.6,865.0,881.9,39504022.0,0.01929616875697049,0.5939789037592015,0.023358657444154666,0.033219064936160315,3.587715119689616,0.09332167302190382,1.8790482916806832,0.09598563824107369,1.0442529371667912,0.17943695614389535,-0.009212448039546158,0.0,0.0,0.0050142450142449824,1.04999999999979,1.5121951219510588,0.0,0.0,0.006045253037019971,1,0,1.0,2.0,0.6297078579809801,2.9981353946268863,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,0.01077534777802651,1,0.3067293970300492
2023-04-11 18:30:00,883.45,892.0,880.3,890.15,22686032.0,0.01869065293554374,0.5629236075769839,0.013143852159748393,0.042033707036522254,3.908685999637507,0.09970422319994923,1.0653689052179895,0.11469765437832513,1.2603965410068634,0.15410929131479917,-0.0020739910313901577,1.0,0.0,0.0030047512629345977,1.5133333333330412,0.7462686567163311,0.0,0.0,0.0017575688853612274,2,0,0.0,3.0,0.5980369997876351,3.0575204985738345,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,0.004263114549963089,1,0.3018173548515299
2023-04-12 18:30:00,891.1,901.65,886.5,899.0,34439635.0,0.018388471415657505,0.56347744200713,0.016852057842046676,0.05038212177188576,4.430447894518563,0.10409937934289563,1.551657385552369,0.18695918856022847,1.5809066880791565,0.14096960729129113,-0.002939056174790633,1.0,0.0,0.003665593658709003,2.7199999999994606,0.9177215189872282,0.0,0.0,0.0010672358591249165,3,0,0.0,4.0,0.753646756874534,3.064271091545778,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,-0.015461195773014464,0,0.30628630200515816
2023-04-16 18:30:00,917.3,917.3,893.15,901.3,29957514.0,0.018945338117543644,0.5652178311191255,0.026794629978919283,0.05115839684640813,4.62260650194638,0.10721445546224681,1.3070228024620758,0.1431515903222346,1.6652147153447547,0.1257120765553663,-0.01744249427668155,0.0,0.0,-0.0028948096247810506,4.929999999998986,0.5093749999999668,0.0,0.0,0.020355951056729625,4,0,0.0,5.0,0.7510849652681955,3.063218439590921,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,0.003320496881487866,1,0.29836911527101456
2023-04-17 18:30:00,907.95,907.95,894.1,896.85,26699379.0,0.018782455434452894,0.5509886726358524,0.015442939176004913,0.04438627095235551,4.156797796502622,0.1042556034472707,1.1308664234239245,0.12292793871498543,1.5416567823061844,0.04591884037883398,-0.02229368799738353,0.0,0.0,-0.003093853051243062,5.549999999998913,0.24774774774772493,1.0,0.0,0.007378231443470635,0,1,0.0,6.0,0.7543158302465182,3.0739438284792273,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,0.017840015787555712,1,0.28058153647366674
2023-04-18 18:30:00,895.9,896.9,887.25,891.9,24377956.0,0.01831047579269441,0.5231270602482465,0.01081959860970957,0.03755992522216379,3.2616233734268736,0.09605758994980693,1.012408450543488,0.10950665360133797,1.4674847275061143,0.004857912861366211,-0.02768995966423193,0.0,0.0,-0.0001307897834496229,2.9033333333327724,1.4124999999996413,0.0,0.0,-0.001059262975971505,0,2,0.0,7.0,0.7446726899064071,3.004949814331922,1,0.7818314824680298,0.6234898018587336,18,-1.0,-1.8369701987210297e-16,0.025015400301534523,1,0.2671306279962168
2023-04-19 18:30:00,892.25,899.3,889.2,894.4,16999919.0,0.01776166573549337,0.49278864067830824,0.011292486583184142,0.03958537467033481,2.6122650552138698,0.09160727990590216,0.6974628406695269,0.0913982899823068,1.4976910854002918,0.11911709999650057,-0.02496456993350044,0.0,0.0,0.0001118193000110801,1.363333333333094,3.6976744186029387,0.0,0.0,0.000392420674963586,1,0,1.0,7.0,0.9322276051235683,3.52640936774536,2,0.9749279121818236,-0.22252093395631434,18,-1.0,-1.8369701987210297e-16,0.025925479173709316,1,0.250291328426876
2023-04-20 18:30:00,894.55,900.7,882.4,885.65,29578071.0,0.018131835362222144,0.471367517810555,0.02066279004121272,0.028892399916354904,1.427117346917612,0.08331306236421336,1.1778970643371562,0.027426145072559163,1.2345653888118278,0.051834022919742796,-0.03450343399106066,0.0,0.0,-0.00442154566744737,-1.2266666666664199,1.056179775280793,0.0,1.0,0.00016771019677993862,0,1,2.0,7.0,0.8747892302635417,3.3098636967994484,3,0.43388373911755823,-0.900968867902419,18,-1.0,-1.8369701987210297e-16,0.03499421560587522,1,0.23469130229836244
2023-04-23 18:30:00,905.0,906.5,895.0,904.75,30881665.0,0.018127342190121704,0.4220834938844177,0.012710693561757377,0.04983633112516683,1.7423438783273006,0.08443665749688041,1.200817368799636,0.041994521081183636,1.2885178621888638,0.20389105498464397,-0.013681456448272039,0.0,0.0,0.0029561200923787076,-0.36666666666657816,44.999999999820005,0.0,0.0,0.02184835996161012,1,0,2.0,1.0,0.8838233202873429,3.2259805925023963,6,-0.7818314824680299,0.6234898018587334,18,-1.0,-1.8369701987210297e-16,0.018495015101243684,1,0.22797069698674663
2023-04-24 18:30:00,906.3,916.0,903.1,913.45,41383839.0,0.017680947976248907,0.4096143770204447,0.014122283649898695,0.05844046743104118,2.313776362599363,0.08926230255016311,1.5375855898124675,0.06740570000570356,1.3950910928920122,0.2914776678331941,-0.004197100185326398,0.0,0.0,0.0028544765878026237,2.243333333332891,0.8041958041956656,0.0,0.0,0.0017131804365846397,2,0,2.0,2.0,0.8761888783520665,3.203378777228927,0,0.0,1.0,18,-1.0,-1.8369701987210297e-16,0.00973806797072143,1,0.23565541142185165
