date,open,high,low,close,volume
2022-04-24 18:30:00,700.0,707.5,695.0,700.5,6849530.0
2022-04-25 18:30:00,713.0,726.0,710.0,724.0,10124190.0
2022-04-26 18:30:00,710.0,710.0,669.0,671.5,39843570.0
2022-04-27 18:30:00,675.0,680.5,658.0,673.0,24990940.0
2022-04-28 18:30:00,680.0,682.0,665.0,667.0,13375170.0
2022-05-01 18:30:00,655.0,665.0,652.5,662.5,12387410.0
2022-05-03 18:30:00,663.0,667.0,629.0,634.0,16491150.0
2022-05-04 18:30:00,640.0,650.0,629.0,631.0,14860280.0
2022-05-05 18:30:00,620.0,620.5,597.5,600.0,30648650.0
2022-05-08 18:30:00,596.0,613.5,583.0,604.0,19356480.0
2022-05-09 18:30:00,600.0,611.0,590.0,593.0,11779330.0
2022-05-10 18:30:00,596.0,600.0,574.0,581.0,18613390.0
2022-05-11 18:30:00,575.0,576.5,550.5,559.0,24940440.0
2022-05-12 18:30:00,570.0,575.0,550.0,551.5,21053150.0
2022-05-15 18:30:00,557.5,571.0,549.0,564.5,14149550.0
2022-05-16 18:30:00,566.0,585.0,565.0,584.0,14017700.0
2022-05-17 18:30:00,589.0,596.0,579.0,581.5,16550940.0
2022-05-18 18:30:00,565.0,574.5,561.0,571.0,10650250.0
2022-05-19 18:30:00,584.0,584.0,571.0,577.0,10986100.0
2022-05-22 18:30:00,582.5,590.5,577.0,579.5,9680210.0
2022-05-23 18:30:00,578.0,583.0,572.5,580.0,10840690.0
2022-05-24 18:30:00,584.0,588.0,580.0,583.0,8675980.0
2022-05-25 18:30:00,585.0,587.5,565.0,582.0,12595460.0
2022-05-26 18:30:00,590.0,608.0,586.0,599.0,16258050.0
2022-05-29 18:30:00,609.0,613.0,604.0,611.0,8174840.0
2022-05-30 18:30:00,611.0,617.0,602.0,608.0,15489660.0
2022-05-31 18:30:00,606.0,613.0,598.0,601.0,8876200.0
2022-06-01 18:30:00,601.0,608.0,595.0,606.0,7508090.0
2022-06-02 18:30:00,612.5,617.0,601.5,603.0,10434650.0
2022-06-05 18:30:00,601.0,605.0,591.0,602.0,7376570.0
2022-06-06 18:30:00,598.0,599.0,583.0,588.0,8969820.0
2022-06-07 18:30:00,590.0,605.5,580.0,595.5,13341460.0
2022-06-08 18:30:00,590.5,593.0,585.5,590.0,12376740.0
2022-06-09 18:30:00,582.5,583.5,565.0,567.0,21518910.0
2022-06-12 18:30:00,552.5,555.5,532.5,536.0,19327850.0
2022-06-13 18:30:00,535.0,546.0,528.5,537.5,18845410.0
2022-06-14 18:30:00,542.0,550.0,539.5,548.5,16599430.0
2022-06-15 18:30:00,556.5,561.5,525.5,528.5,21796860.0
2022-06-16 18:30:00,522.0,547.5,522.0,542.0,19379390.0
2022-06-19 18:30:00,543.0,551.0,535.0,547.0,11194560.0
2022-06-20 18:30:00,552.5,556.5,545.5,555.0,10023590.0
2022-06-21 18:30:00,553.0,553.0,540.5,544.0,8983460.0
2022-06-22 18:30:00,544.5,549.5,534.0,545.0,11018570.0
2022-06-23 18:30:00,551.0,562.0,545.5,559.0,13049330.0
2022-06-26 18:30:00,570.0,572.5,559.0,564.0,10490080.0
2022-06-27 18:30:00,561.0,562.0,552.5,557.5,7395000.0
2022-06-28 18:30:00,548.5,555.5,546.0,551.0,7559820.0
2022-06-29 18:30:00,551.0,553.5,538.0,540.0,11982750.0
2022-06-30 18:30:00,536.5,563.5,533.5,561.5,12218900.0
2022-07-03 18:30:00,561.0,565.0,554.0,563.0,7898180.0
2022-07-04 18:30:00,566.0,575.5,563.0,566.0,12284530.0
2022-07-05 18:30:00,568.0,594.0,564.5,592.0,22229520.0
2022-07-06 18:30:00,593.5,599.0,581.5,586.0,13352470.0
2022-07-07 18:30:00,593.0,593.0,580.0,587.0,8032820.0
2022-07-10 18:30:00,585.0,590.5,581.5,586.0,7613370.0
2022-07-11 18:30:00,585.0,596.0,578.5,587.0,9754460.0
2022-07-12 18:30:00,593.0,598.0,587.0,588.0,8869340.0
2022-07-13 18:30:00,592.5,593.0,579.5,583.0,6929200.0
2022-07-14 18:30:00,585.5,593.0,581.0,591.5,5698590.0
2022-07-17 18:30:00,597.0,607.0,593.0,606.0,9664320.0
2022-07-18 18:30:00,604.0,610.0,600.0,606.5,9785600.0
2022-07-19 18:30:00,615.0,615.0,604.0,607.5,8270920.0
2022-07-20 18:30:00,608.0,628.0,603.5,627.0,13254930.0
2022-07-21 18:30:00,627.0,632.5,622.0,626.0,9532950.0
2022-07-24 18:30:00,624.0,633.5,618.5,623.0,7240230.0
2022-07-25 18:30:00,630.0,638.0,621.0,626.5,15304060.0
2022-07-26 18:30:00,628.0,643.0,619.5,640.0,14449890.0
2022-07-27 18:30:00,652.0,711.0,652.0,708.0,64857820.0
2022-07-28 18:30:00,717.5,726.0,712.5,721.0,26067620.0
2022-07-31 18:30:00,725.0,731.0,719.0,726.0,12270770.0
2022-08-01 18:30:00,720.0,735.5,718.0,734.0,12491240.0
2022-08-02 18:30:00,732.5,738.0,722.0,730.0,12186210.0
2022-08-03 18:30:00,734.0,738.5,720.5,732.0,9494810.0
2022-08-04 18:30:00,734.0,737.0,727.5,730.5,7580780.0
2022-08-07 18:30:00,730.0,740.0,726.5,734.0,9574820.0
2022-08-09 18:30:00,737.0,737.0,710.5,715.0,19065230.0
2022-08-10 18:30:00,724.5,732.5,722.0,732.0,10270510.0
2022-08-11 18:30:00,730.0,734.0,727.0,731.0,10369410.0
2022-08-15 18:30:00,734.0,738.5,727.0,728.5,8044640.0
2022-08-16 18:30:00,730.0,764.0,729.5,753.0,23444140.0
2022-08-17 18:30:00,749.0,759.0,745.0,749.0,8353540.0
2022-08-18 18:30:00,751.0,754.0,727.0,730.0,11004270.0
2022-08-21 18:30:00,726.0,728.0,709.0,710.0,10608620.0
2022-08-22 18:30:00,708.5,725.0,705.0,721.0,10886030.0
2022-08-23 18:30:00,716.5,724.0,714.0,718.0,9530960.0
2022-08-24 18:30:00,721.0,724.0,702.5,705.0,13542960.0
2022-08-25 18:30:00,712.0,714.0,702.5,706.0,7591390.0
2022-08-28 18:30:00,688.0,701.5,686.0,696.5,9967350.0
2022-08-29 18:30:00,700.0,733.5,700.0,730.5,17313810.0
2022-08-31 18:30:00,723.0,733.5,714.0,718.0,14625790.0
2022-09-01 18:30:00,722.0,731.0,717.0,719.0,9063700.0
2022-09-04 18:30:00,719.0,725.5,716.0,719.5,7070250.0
2022-09-05 18:30:00,723.0,725.5,710.5,712.0,7919050.0
2022-09-06 18:30:00,708.0,721.0,707.0,717.0,7919940.0
2022-09-07 18:30:00,722.0,728.0,717.5,726.0,7722510.0
2022-09-08 18:30:00,730.0,732.5,716.5,718.0,6496070.0
2022-09-11 18:30:00,722.0,732.0,719.0,729.0,8347160.0
2022-09-12 18:30:00,733.0,744.5,731.0,740.0,13827000.0
2022-09-13 18:30:00,727.0,756.0,727.0,748.0,14933880.0
2022-09-14 18:30:00,749.0,753.0,737.0,739.0,7174200.0
2022-09-15 18:30:00,738.5,748.0,719.5,727.5,11870360.0
2022-09-18 18:30:00,727.5,752.5,719.0,749.5,16481170.0
2022-09-19 18:30:00,757.0,771.5,756.5,763.5,16134500.0
2022-09-20 18:30:00,764.0,773.5,758.5,769.0,12392620.0
2022-09-21 18:30:00,767.0,778.0,760.0,772.0,12810390.0
2022-09-22 18:30:00,771.5,773.0,747.5,751.0,14123310.0
2022-09-25 18:30:00,744.0,746.0,713.0,726.0,18752050.0
2022-09-26 18:30:00,732.5,738.0,721.0,724.0,11428290.0
2022-09-27 18:30:00,718.0,730.0,716.0,720.0,8690690.0
2022-09-28 18:30:00,731.0,732.0,709.0,710.5,9696320.0
2022-09-29 18:30:00,708.0,736.0,703.0,733.5,16186650.0
2022-10-02 18:30:00,734.0,740.0,714.5,717.0,8201980.0
2022-10-03 18:30:00,733.5,750.5,731.0,749.0,11914950.0
2022-10-05 18:30:00,755.0,760.0,735.0,740.5,15100600.0
2022-10-06 18:30:00,738.5,741.0,727.0,734.5,9911960.0
2022-10-09 18:30:00,726.5,734.0,722.0,729.0,6531130.0
2022-10-10 18:30:00,731.0,735.0,717.0,720.0,7322060.0
2022-10-11 18:30:00,720.5,726.0,714.5,722.5,7407310.0
2022-10-12 18:30:00,722.0,722.5,711.5,715.0,6086550.0
2022-10-13 18:30:00,730.0,734.5,722.0,727.0,8390120.0
2022-10-16 18:30:00,725.5,737.0,722.0,735.5,6174010.0
2022-10-17 18:30:00,740.0,743.0,732.0,739.0,9069750.0
2022-10-18 18:30:00,742.0,744.0,735.0,738.0,6271770.0
2022-10-19 18:30:00,737.0,745.0,726.0,743.0,10260540.0
2022-10-20 18:30:00,749.0,749.0,715.0,719.0,23869600.0
2022-10-23 18:30:00,731.0,731.0,719.0,721.0,2278840.0
2022-10-24 18:30:00,724.0,724.0,709.0,710.0,9098990.0
2022-10-26 18:30:00,718.5,721.0,693.0,697.0,16414580.0
2022-10-27 18:30:00,700.0,709.0,698.0,701.0,8396690.0
2022-10-30 18:30:00,709.5,715.0,704.5,714.5,8189860.0
2022-10-31 18:30:00,720.0,723.5,716.0,721.0,7627420.0
2022-11-01 18:30:00,721.0,724.0,714.0,715.5,5859140.0
2022-11-02 18:30:00,710.5,719.5,709.0,712.0,6323130.0
2022-11-03 18:30:00,712.0,722.5,712.0,721.0,9219250.0
2022-11-06 18:30:00,725.0,725.0,711.0,719.0,7224940.0
2022-11-08 18:30:00,723.5,723.5,711.5,714.5,6896340.0
2022-11-09 18:30:00,716.0,716.5,696.5,697.5,10081820.0
2022-11-10 18:30:00,715.0,716.0,699.5,705.0,12333420.0
2022-11-13 18:30:00,705.5,711.0,700.0,702.5,8550600.0
